store,link,pname,price,category,subcategory,brand,weight
AaramShop.pk,https://www.aaramshop.pk/product-detail/sprite,Sprite,Rs. 35.00,Water & Beverages,Cold Drink,Brand - Sprite,
AaramShop.pk,https://www.aaramshop.pk/product-detail/dettol-cool-soap,Dettol Cool Soap,Rs. 45.00,Soaps & Sanitizer,Health Soaps,Brand - Dettol,
AaramShop.pk,https://www.aaramshop.pk/product-detail/dettol-original-soap,Dettol Original Soap,Rs. 45.00,Soaps & Sanitizer,Health Soaps,Brand - Dettol,
AaramShop.pk,https://www.aaramshop.pk/product-detail/lifebuoy-nature-soap,Lifebuoy Nature Soap,Rs. 36.00,Soaps & Sanitizer,Soap,Brand - Lifebuoy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/dove-original-beauty-cream-bar,Dove Original Beauty Cream Bar,Rs. 70.00,Soaps & Sanitizer,Beauty Soaps,Brand - Dove,
AaramShop.pk,https://www.aaramshop.pk/product-detail/lifebuoy-total-soap,Lifebuoy Total Soap,Rs. 26.00,Soaps & Sanitizer,Soap,Brand - Lifebuoy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/7up-diet,7up Diet,Rs. 45.00,Water & Beverages,Cold Drink,Brand - 7up,
AaramShop.pk,https://www.aaramshop.pk/product-detail/loreal-paris-nutri-gloss-shampoo,L'Oreal Paris Nutri Gloss Shampoo,Rs. 200.00,Hair Care & Styling Aids,Shampoos,Brand - L'Or?al Paris,
AaramShop.pk,https://www.aaramshop.pk/product-detail/loreal-paris-tr-five-serum,L'Oreal Paris Total Repair 5 Serum,Rs. 655.00,Hair Care & Styling Aids,Hair Treatment,Brand - L'Or?al Paris,
AaramShop.pk,https://www.aaramshop.pk/product-detail/loreal-paris-tr-five-masque,L'Oreal Paris Total Repair 5 Masque,Rs. 999.00,Hair Care & Styling Aids,Hair Treatment,Brand - L'Or?al Paris,
AaramShop.pk,https://www.aaramshop.pk/product-detail/morinaga-bf-2-follow-up-formula,Morinaga BF-2 Follow up formula,Rs. 605.00,Baby and Child Care Product,Infant Food,Brand - BF Milk,
AaramShop.pk,https://www.aaramshop.pk/product-detail/morinaga-bf-p-for-low-weight-infants,Morinaga BF-P for low weight infants,Rs. 650.00,Baby and Child Care Product,Infant Food,Brand - BF Milk,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-nesvita-calcium-plus,Nestle Nesvita Calcium Plus,Rs. 30.00,Milk & Dairy Products,Milk,Brand - Ambient Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/canbabe-new-born-14pieces,Canbabe New Born 14Pieces,Rs. 275.00,Baby and Child Care Product,Diapers,Brand - Canbabe Diapers,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-podina-raita,Nestle Podina Raita,Rs. 55.00,Milk & Dairy Products,Raita,Brand - Chilled Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/haleeb-nutritious-thick-milk,Haleeb Nutritious Thick Milk,Rs. 50.00,Milk & Dairy Products,Milk,Brand - Haleeb Nutritous,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-fruita-vitals-orange-juice,Nestle Fruita Vitals Orange Juice,Rs. 220.00,Water & Beverages,Fruit Juice,Brand - Beverages,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-fruita-vitals-guava-nectar,Nestle Fruita Vitals Guava Nectar,Rs. 150.00,Water & Beverages,Fruit Juice,Brand - Beverages,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-milkpak-cream,Nestle Milkpak Cream,Rs. 90.00,Milk & Dairy Products,Milk Cream,Brand - Ambient Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-fruita-vitals-apple-nectar,Nestle Fruita Vitals Apple Nectar,Rs. 150.00,Water & Beverages,Fruit Juice,Brand - Beverages,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-fruita-vitals-chaunsa-nectar,Nestle Fruita Vitals Chaunsa Nectar,Rs. 150.00,Water & Beverages,Fruit Juice,Brand - Beverages,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-fruita-vitals-berrylicious-nectar,Nestle Fruita Vitals Berrylicious Nectar,Rs. 150.00,Water & Beverages,Fruit Juice,Brand - Beverages,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-yogurt-sweet-n-tasty,Nestle Yogurt Sweet n Tasty,Rs. 85.00,Milk & Dairy Products,Dahi,Brand - Chilled Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-everyday-milk-powder,Nestle Everyday Milk Powder,Rs. 320.00,Milk & Dairy Products,Milk Powder,Brand - Ambient Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-zeera-raita,Nestle Zeera Raita,Rs. 55.00,Milk & Dairy Products,Raita,Brand - Chilled Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/tapal-taiz-dam,Tapal Taiz Dam,Rs. 310.00,Coffee Tea & Cocoa,Tea,Brand - Tapal Special,
AaramShop.pk,https://www.aaramshop.pk/product-detail/brooke-bond-supreme-tea,Brooke Bond Supreme Tea,Rs. 105.00,Coffee Tea & Cocoa,Tea,Brand - Brooke Bond A1,
AaramShop.pk,https://www.aaramshop.pk/product-detail/lipton-yellow-label-tea-bags,Lipton Yellow Label Tea bags,Rs. 160.00,Coffee Tea & Cocoa,Tea Bags,Brand - Lipton Tea,
AaramShop.pk,https://www.aaramshop.pk/product-detail/nestle-milkpak-uht,Nestle MilkPak UHT,Rs. 30.00,Milk & Dairy Products,Milk,Brand - Ambient Dairy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/tapal-danedar,Tapal Danedar,Rs. 60.00,Coffee Tea & Cocoa,Tea,Brand - Tapal Danedar,
AaramShop.pk,https://www.aaramshop.pk/product-detail/tapal-danedar-jar,Tapal Danedar Jar,Rs. 415.00,Coffee Tea & Cocoa,Tea,Brand - Tapal Danedar,
AaramShop.pk,https://www.aaramshop.pk/product-detail/bisconni-cocomo,Bisconni Cocomo,Rs. 55.00,Confectionery,Cookies,Brand - Bisconni,
AaramShop.pk,https://www.aaramshop.pk/product-detail/safeguard-cool-blue,Safeguard Cool Blue,Rs. 46.00,Soaps & Sanitizer,Health Soaps,Brand - Safeguard,
AaramShop.pk,https://www.aaramshop.pk/product-detail/lifebuoy-activfresh-hand-wash,Lifebuoy Activfresh Hand Wash,Rs. 99.00,Soaps & Sanitizer,Hand Wash,Brand - Lifebuoy,
AaramShop.pk,https://www.aaramshop.pk/product-detail/safeguard-aloe-vera-soap,Safeguard Aloe Vera Soap,Rs. 50.00,Soaps & Sanitizer,Health Soaps,Brand - Safeguard,
AaramShop.pk,https://www.aaramshop.pk/product-detail/dettol-anti-bacterial-skincare-hand-wash,Dettol Anti Bacterial Skincare Hand wash,Rs. 99.00,Soaps & Sanitizer,Hand Wash,Brand - Dettol,
AaramShop.pk,https://www.aaramshop.pk/product-detail/lemon-max-powder-cleaner,Lemon Max Powder Cleaner,Rs. 70.00,Household & Cleaning,Cleaning Powder,Brand - Lemon Max,
AaramShop.pk,https://www.aaramshop.pk/product-detail/scotch-brite-green-kitchen-scourer-with-nail-saving-sponge,Scotch Brite Green Kitchen Scourer with Nail Saving Sponge,Rs. 75.00,Household & Cleaning,Scrub Pads,Brand - Scotch Brite,
AaramShop.pk,https://www.aaramshop.pk/product-detail/vim-dishwash-active-lemon-gel,Vim Dishwash Active Lemon Gel,Rs. 135.00,Household & Cleaning,Dishwashing Products,Brand - Vim,
AaramShop.pk,https://www.aaramshop.pk/product-detail/domex-original-toilet-expert,Domex Original Toilet Expert,Rs. 55.00,Household & Cleaning,Toilet Cleaners,Brand - Domex,
